21;(1436, 1449, 1385, 1391);(0.743, 0.75, 0.717, 0.72);(41.64, 45.059);(0.496, 0.49);(3315540.866, 4496597.412);(0.056, 0.075)
22;(1420, 1431, 1422, 1423);(0.735, 0.741, 0.736, 0.737);(41.996, 45.24);(0.5, 0.492);(3468658.923, 4203772.41);(0.058, 0.07)
23;(1483, 1485, 1418, 1742);(0.768, 0.769, 0.734, 0.902);(41.122, 46.248);(0.49, 0.503);(4174798.429, 4630045.969);(0.07, 0.078)
24;(1519, 1737, 1439, 1731);(0.786, 0.899, 0.745, 0.896);(43.79, 44.807);(0.521, 0.487);(3778522.387, 4551231.336);(0.063, 0.076)
25;(1501, 1604, 1601, 1725);(0.777, 0.83, 0.829, 0.893);(41.809, 46.262);(0.498, 0.503);(4301714.131, 4583113.986);(0.072, 0.077)
26;(1400, 1642, 1456, 1845);(0.725, 0.85, 0.754, 0.955);(43.313, 46.399);(0.516, 0.504);(4037107.807, 4687652.872);(0.068, 0.078)
27;(1413, 1640, 1577, 1517);(0.731, 0.849, 0.816, 0.785);(41.824, 45.816);(0.498, 0.498);(4136768.193, 4646677.009);(0.069, 0.078)
28;(1450, 1658, 1607, 1641);(0.751, 0.858, 0.832, 0.849);(42.03, 45.58);(0.5, 0.495);(4189596.44, 4696044.398);(0.07, 0.079)
29;(1400, 1478, 1282, 1366);(0.725, 0.765, 0.664, 0.707);(42.355, 43.995);(0.498, 0.478);(3602907.974, 4538517.878);(0.059, 0.074)
30;(1266, 1461, 1466, 1269);(0.718, 0.829, 0.832, 0.72);(42.704, 40.66);(0.497, 0.49);(3888421.479, 3075379.967);(0.076, 0.06)
31;(1212, 1661, 1235, 1279);(0.691, 0.946, 0.704, 0.729);(41.31, 41.89);(0.523, 0.465);(2940115.911, 3825543.723);(0.058, 0.076)
32;(1779, 1779, 1919, 1780);(0.749, 0.749, 0.808, 0.749);(43.746, 54.755);(0.497, 0.507);(4846355.473, 7527338.381);(0.054, 0.083)
33;(1497, 1540, 1733, 1473);(0.761, 0.783, 0.881, 0.748);(41.164, 48.626);(0.496, 0.507);(3935636.712, 5257938.422);(0.062, 0.083)
34;(1750, 1654, 1627, 1509);(0.74, 0.699, 0.688, 0.638);(53.991, 40.837);(0.491, 0.469);(6525090.432, 4094293.571);(0.071, 0.045)
35;(2291, 2431, 2582, 2502);(0.707, 0.75, 0.797, 0.772);(59.212, 55.592);(0.493, 0.51);(12063976.225, 10531396.714);(0.071, 0.062)
36;(1255, 1666, 1426, 1263);(0.695, 0.922, 0.79, 0.699);(41.687, 41.104);(0.485, 0.484);(3960968.724, 3421549.998);(0.074, 0.064)
37;(1624, 1765, 1435, 1638);(0.738, 0.802, 0.652, 0.745);(57.268, 38.596);(0.516, 0.476);(7105076.239, 3526720.206);(0.088, 0.044)
38;(688, 916, 721, 945);(0.671, 0.894, 0.703, 0.922);(25.856, 41.294);(0.507, 0.498);(883703.159, 1866281.402);(0.049, 0.104)
39;(837, 1275, 839, 859);(0.623, 0.949, 0.624, 0.639);(32.699, 38.93);(0.503, 0.463);(1414340.094, 2312614.569);(0.047, 0.078)
40;(1106, 878, 1105, 907);(0.823, 0.653, 0.822, 0.675);(29.313, 41.446);(0.451, 0.493);(1252909.358, 2332891.324);(0.042, 0.078)
41;(1669, 1893, 1555, 1899);(0.685, 0.777, 0.638, 0.78);(58.386, 41.215);(0.503, 0.485);(7684581.464, 4447938.445);(0.079, 0.046)
42;(1437, 1477, 1527, 1554);(0.726, 0.746, 0.771, 0.785);(46.228, 44.452);(0.508, 0.505);(4791991.292, 4066341.154);(0.075, 0.063)
